frame_id,condition,conf_thres,model,n_det_clean,n_det_degraded,post_ms_clean,post_ms_degraded
0,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,46,9.0642,3.1488
1,rain_heavy,0.25,yolov8n_visdrone_640.onnx,102,60,3.049,3.017
2,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,56,4.8039,1.8416
3,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,68,4.6047,2.9693
4,rain_heavy,0.25,yolov8n_visdrone_640.onnx,102,60,5.1421,3.0754
5,rain_heavy,0.25,yolov8n_visdrone_640.onnx,95,50,3.6305,2.61
6,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,47,3.352,2.6198
7,rain_heavy,0.25,yolov8n_visdrone_640.onnx,94,58,4.5793,2.6477
8,rain_heavy,0.25,yolov8n_visdrone_640.onnx,94,48,3.4588,3.0127
9,rain_heavy,0.25,yolov8n_visdrone_640.onnx,102,52,5.1595,4.0464
10,rain_heavy,0.25,yolov8n_visdrone_640.onnx,99,50,5.8828,2.6325
11,rain_heavy,0.25,yolov8n_visdrone_640.onnx,103,69,3.7166,3.1062
12,rain_heavy,0.25,yolov8n_visdrone_640.onnx,100,74,6.2821,2.7325
13,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,53,4.6729,2.6692
14,rain_heavy,0.25,yolov8n_visdrone_640.onnx,98,51,3.5104,3.3005
15,rain_heavy,0.25,yolov8n_visdrone_640.onnx,93,55,5.145,2.5932
16,rain_heavy,0.25,yolov8n_visdrone_640.onnx,100,63,4.7732,3.1222
17,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,62,6.4113,3.4085
18,rain_heavy,0.25,yolov8n_visdrone_640.onnx,105,66,4.7445,3.41
19,rain_heavy,0.25,yolov8n_visdrone_640.onnx,104,51,5.5465,2.9255
20,rain_heavy,0.25,yolov8n_visdrone_640.onnx,106,55,5.0895,3.1179
21,rain_heavy,0.25,yolov8n_visdrone_640.onnx,104,62,4.9793,3.3309
22,rain_heavy,0.25,yolov8n_visdrone_640.onnx,98,67,5.1312,3.3905
23,rain_heavy,0.25,yolov8n_visdrone_640.onnx,97,53,5.1282,3.3249
24,rain_heavy,0.25,yolov8n_visdrone_640.onnx,95,52,4.9472,2.7855
25,rain_heavy,0.25,yolov8n_visdrone_640.onnx,97,55,5.7811,2.9455
26,rain_heavy,0.25,yolov8n_visdrone_640.onnx,92,59,4.2982,3.0635
27,rain_heavy,0.25,yolov8n_visdrone_640.onnx,92,47,5.4707,2.6309
28,rain_heavy,0.25,yolov8n_visdrone_640.onnx,91,66,4.3354,3.2962
29,rain_heavy,0.25,yolov8n_visdrone_640.onnx,105,59,4.8908,3.0071
30,rain_heavy,0.25,yolov8n_visdrone_640.onnx,98,52,3.6711,2.8126
31,rain_heavy,0.25,yolov8n_visdrone_640.onnx,95,49,3.4897,1.7101
32,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,54,5.5517,2.2366
33,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,57,4.6972,2.9401
34,rain_heavy,0.25,yolov8n_visdrone_640.onnx,88,55,5.4964,3.0812
35,rain_heavy,0.25,yolov8n_visdrone_640.onnx,91,49,3.3404,1.8203
36,rain_heavy,0.25,yolov8n_visdrone_640.onnx,98,48,5.9641,2.836
37,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,52,3.7505,2.5561
38,rain_heavy,0.25,yolov8n_visdrone_640.onnx,104,45,5.0691,2.7183
39,rain_heavy,0.25,yolov8n_visdrone_640.onnx,95,51,4.7455,2.6932
40,rain_heavy,0.25,yolov8n_visdrone_640.onnx,93,59,4.3344,2.0279
41,rain_heavy,0.25,yolov8n_visdrone_640.onnx,94,45,4.5499,2.5836
42,rain_heavy,0.25,yolov8n_visdrone_640.onnx,94,48,4.1604,3.0877
43,rain_heavy,0.25,yolov8n_visdrone_640.onnx,91,53,3.8509,1.8735
44,rain_heavy,0.25,yolov8n_visdrone_640.onnx,99,61,3.4743,7.3288
45,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,59,5.4655,3.1171
46,rain_heavy,0.25,yolov8n_visdrone_640.onnx,103,64,3.7906,3.2132
47,rain_heavy,0.25,yolov8n_visdrone_640.onnx,99,42,4.6146,2.3916
48,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,48,3.2585,2.563
49,rain_heavy,0.25,yolov8n_visdrone_640.onnx,99,53,4.7571,2.7328
50,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,58,3.3293,2.6698
51,rain_heavy,0.25,yolov8n_visdrone_640.onnx,102,47,5.2516,2.5619
52,rain_heavy,0.25,yolov8n_visdrone_640.onnx,97,55,3.8968,3.8701
53,rain_heavy,0.25,yolov8n_visdrone_640.onnx,97,45,5.4032,1.6008
54,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,58,4.8525,2.5579
55,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,50,4.8437,2.8075
56,rain_heavy,0.25,yolov8n_visdrone_640.onnx,94,50,2.8993,1.9486
57,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,57,3.0288,2.4691
58,rain_heavy,0.25,yolov8n_visdrone_640.onnx,93,51,3.9762,2.774
59,rain_heavy,0.25,yolov8n_visdrone_640.onnx,91,42,3.1454,1.7951
60,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,60,6.1055,3.2898
61,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,48,4.5004,2.4772
62,rain_heavy,0.25,yolov8n_visdrone_640.onnx,109,47,4.1901,2.4264
63,rain_heavy,0.25,yolov8n_visdrone_640.onnx,94,45,4.3778,2.1125
64,rain_heavy,0.25,yolov8n_visdrone_640.onnx,93,46,4.259,1.6411
65,rain_heavy,0.25,yolov8n_visdrone_640.onnx,97,56,3.7382,2.8005
66,rain_heavy,0.25,yolov8n_visdrone_640.onnx,95,54,3.0639,2.9194
67,rain_heavy,0.25,yolov8n_visdrone_640.onnx,99,51,3.1557,3.4426
68,rain_heavy,0.25,yolov8n_visdrone_640.onnx,97,55,3.6442,2.4982
69,rain_heavy,0.25,yolov8n_visdrone_640.onnx,92,51,4.2691,2.8205
70,rain_heavy,0.25,yolov8n_visdrone_640.onnx,93,50,4.7792,2.7596
71,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,49,5.5302,2.4099
72,rain_heavy,0.25,yolov8n_visdrone_640.onnx,89,57,2.9552,3.1819
73,rain_heavy,0.25,yolov8n_visdrone_640.onnx,102,55,3.3553,3.0836
74,rain_heavy,0.25,yolov8n_visdrone_640.onnx,86,55,3.9847,2.3747
75,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,44,3.1945,3.0729
76,rain_heavy,0.25,yolov8n_visdrone_640.onnx,90,55,2.7673,1.8692
77,rain_heavy,0.25,yolov8n_visdrone_640.onnx,91,45,4.317,2.5545
78,rain_heavy,0.25,yolov8n_visdrone_640.onnx,100,54,3.1971,2.3227
79,rain_heavy,0.25,yolov8n_visdrone_640.onnx,98,46,3.0649,1.6851
80,rain_heavy,0.25,yolov8n_visdrone_640.onnx,105,50,3.0872,1.8718
