model,head,precision,inference_us,peak_mem_mb,ops_npu,ops_total,ops_fallback,n_above_conf025,n_box_valid,box_ratio_vs_fp32,mean_wh,conf_corr_vs_fp32,verdict,quantize_job,compile_job,profile_job,qairt,device,calib
v8n-base,anchor (decode ngoai graph),fp32,,,,,,232,232,1.0,28.7x23.1,1.0,yes,,,,,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v8n-base,anchor (decode ngoai graph),w8a8,1992,102.0,248,248,0,0,0,0.0,-,0.0,NO - conf sap ve 0,jgo8jv2xp,j56wk1n6g,jp36yme3p,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v8n-base,anchor (decode ngoai graph),w8a16,3984,107.0,248,248,0,233,233,1.004,28.0x22.4,0.99952,yes,jp16r8285,jp81l74q5,j5qvj2meg,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v8n-base,anchor (decode ngoai graph),w16a16,4263,105.6,248,248,0,233,233,1.004,28.6x23.1,0.99992,yes,j579qd2vg,jgjqjlr15,jpeyjv785,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v8n-base,anchor (decode ngoai graph),w4a16,4062,100.9,253,253,0,164,120,0.517,20.8x13.7,0.88023,yes,jp43zwn85,jgjqjl675,jgzn17qzg,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v11n-base,anchor (decode ngoai graph),fp32,,,,,,244,244,1.0,26.0x21.4,1.0,yes,,,,,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v11n-base,anchor (decode ngoai graph),w8a8,2315,103.4,341,341,0,0,0,0.0,-,0.0,NO - conf sap ve 0,j5qvj2eng,jp2e2m9rp,jp06nr29p,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v11n-base,anchor (decode ngoai graph),w8a16,4710,106.4,341,341,0,237,237,0.971,25.6x21.0,0.9991,yes,j56wk1e6g,jp16r87n5,jgd2jv865,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v11n-base,anchor (decode ngoai graph),w16a16,4955,106.6,341,341,0,246,246,1.008,26.1x21.4,0.99985,yes,jp36ymv3p,j579qd4ng,jp43zw125,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v11n-base,anchor (decode ngoai graph),w4a16,6319,102.1,349,349,0,52,29,0.119,15.2x12.6,0.72607,yes,jgjqjl2v5,jpym9d2rp,jp06nr92p,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,end2end (decode TRONG graph),fp32,,,,,,58,58,1.0,19.3x18.9,1.0,yes,,,,,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,end2end (decode TRONG graph),w8a8,2525,101.5,411,411,0,0,0,0.0,-,0.0,NO - conf sap ve 0,jpxxwyljp,jp36yeoxp,jgo8j3d4p,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,end2end (decode TRONG graph),w8a16,6732,100.7,411,411,0,60,0,0.0,0.0x0.0,0.9995,NO - box sap thanh mot diem,j5m8j30yp,jgo8j3w4p,jpv7jvm7p,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,end2end (decode TRONG graph),w16a16,6942,100.6,411,411,0,58,0,0.0,0.0x0.0,0.99967,NO - box sap thanh mot diem,jgnkj31vg,j5qvj3d7g,jgllj3qeg,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,end2end (decode TRONG graph),w4a16,7644,101.7,433,433,0,2,0,0.0,0.0x0.0,0.97623,NO - box sap thanh mot diem,jprwzexv5,j579qx1rg,jp43zv6l5,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,anchor (export tat end2end),fp32,,,,,,264,264,1.0,26.4x21.5,1.0,yes,,,,,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,anchor (export tat end2end),w8a8,2439,100.0,395,395,0,0,0,0.0,-,0.0,NO - conf sap ve 0,j5w4j993g,jp36ym4np,jpv7jw1rp,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,anchor (export tat end2end),w8a16,4935,101.4,395,395,0,260,260,0.985,26.4x21.5,0.99919,yes,jp16r8885,jpym9d70p,jp06nr60p,2.45,"QCS8550 (Proxy) - AI Hub cloud, NOT the lab board","tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
