split,out_stem,source_image,condition,n_objects
train,0000002_00005_d_0000014,0000002_00005_d_0000014.jpg,clean,82
train,0000002_00005_d_0000014__bright_up,0000002_00005_d_0000014.jpg,bright_up,82
train,0000002_00448_d_0000015,0000002_00448_d_0000015.jpg,clean,85
train,0000002_00448_d_0000015__rain_light,0000002_00448_d_0000015.jpg,rain_light,85
train,0000003_00231_d_0000016,0000003_00231_d_0000016.jpg,clean,39
train,0000003_00231_d_0000016__rain_medium,0000003_00231_d_0000016.jpg,rain_medium,39
train,0000007_04999_d_0000036,0000007_04999_d_0000036.jpg,clean,57
train,0000007_04999_d_0000036__blur_light,0000007_04999_d_0000036.jpg,blur_light,57
train,0000007_05499_d_0000037,0000007_05499_d_0000037.jpg,clean,60
train,0000007_05499_d_0000037__rain_heavy,0000007_05499_d_0000037.jpg,rain_heavy,60
train,0000007_05999_d_0000038,0000007_05999_d_0000038.jpg,clean,40
train,0000007_05999_d_0000038__rain_heavy,0000007_05999_d_0000038.jpg,rain_heavy,40
train,0000008_00889_d_0000039,0000008_00889_d_0000039.jpg,clean,14
train,0000008_00889_d_0000039__rain_light,0000008_00889_d_0000039.jpg,rain_light,14
train,0000008_01999_d_0000040,0000008_01999_d_0000040.jpg,clean,18
train,0000008_01999_d_0000040__bright_down,0000008_01999_d_0000040.jpg,bright_down,18
train,0000008_02499_d_0000041,0000008_02499_d_0000041.jpg,clean,12
train,0000008_02499_d_0000041__blur_light,0000008_02499_d_0000041.jpg,blur_light,12
train,0000008_02999_d_0000042,0000008_02999_d_0000042.jpg,clean,47
train,0000008_02999_d_0000042__rain_medium,0000008_02999_d_0000042.jpg,rain_medium,47
train,0000008_03499_d_0000043,0000008_03499_d_0000043.jpg,clean,27
train,0000008_03499_d_0000043__blur_light,0000008_03499_d_0000043.jpg,blur_light,27
train,0000008_03999_d_0000044,0000008_03999_d_0000044.jpg,clean,27
train,0000008_03999_d_0000044__rain_heavy,0000008_03999_d_0000044.jpg,rain_heavy,27
train,0000008_04499_d_0000045,0000008_04499_d_0000045.jpg,clean,26
train,0000008_04499_d_0000045__rain_medium,0000008_04499_d_0000045.jpg,rain_medium,26
train,0000010_00569_d_0000056,0000010_00569_d_0000056.jpg,clean,45
train,0000010_00569_d_0000056__bright_down,0000010_00569_d_0000056.jpg,bright_down,45
train,0000010_05149_d_0000057,0000010_05149_d_0000057.jpg,clean,57
train,0000010_05149_d_0000057__blur_light,0000010_05149_d_0000057.jpg,blur_light,57
train,0000010_05291_d_0000058,0000010_05291_d_0000058.jpg,clean,58
train,0000010_05291_d_0000058__rain_heavy,0000010_05291_d_0000058.jpg,rain_heavy,58
train,0000013_00465_d_0000067,0000013_00465_d_0000067.jpg,clean,92
train,0000013_00465_d_0000067__rain_light,0000013_00465_d_0000067.jpg,rain_light,92
train,0000016_00420_d_0000068,0000016_00420_d_0000068.jpg,clean,46
train,0000016_00420_d_0000068__rain_light,0000016_00420_d_0000068.jpg,rain_light,46
train,0000016_01352_d_0000069,0000016_01352_d_0000069.jpg,clean,61
train,0000016_01352_d_0000069__bright_down,0000016_01352_d_0000069.jpg,bright_down,61
train,0000030_00754_d_0000036,0000030_00754_d_0000036.jpg,clean,131
train,0000030_00754_d_0000036__bright_down,0000030_00754_d_0000036.jpg,bright_down,131
train,0000031_00000_d_0000037,0000031_00000_d_0000037.jpg,clean,164
train,0000031_00000_d_0000037__rain_medium,0000031_00000_d_0000037.jpg,rain_medium,164
train,0000031_02000_d_0000041,0000031_02000_d_0000041.jpg,clean,67
train,0000031_02000_d_0000041__bright_down,0000031_02000_d_0000041.jpg,bright_down,67
train,0000031_03527_d_0000043,0000031_03527_d_0000043.jpg,clean,82
train,0000031_03527_d_0000043__rain_light,0000031_03527_d_0000043.jpg,rain_light,82
train,0000036_00500_d_0000046,0000036_00500_d_0000046.jpg,clean,101
train,0000036_00500_d_0000046__rain_medium,0000036_00500_d_0000046.jpg,rain_medium,101
train,0000036_03591_d_0000048,0000036_03591_d_0000048.jpg,clean,51
train,0000036_03591_d_0000048__bright_up,0000036_03591_d_0000048.jpg,bright_up,51
train,0000037_01494_d_0000052,0000037_01494_d_0000052.jpg,clean,227
train,0000037_01494_d_0000052__rain_light,0000037_01494_d_0000052.jpg,rain_light,227
train,0000039_00000_d_0000055,0000039_00000_d_0000055.jpg,clean,60
train,0000039_00000_d_0000055__blur_light,0000039_00000_d_0000055.jpg,blur_light,60
train,0000039_05300_d_0000061,0000039_05300_d_0000061.jpg,clean,66
train,0000039_05300_d_0000061__rain_light,0000039_05300_d_0000061.jpg,rain_light,66
train,0000039_05625_d_0000062,0000039_05625_d_0000062.jpg,clean,58
train,0000039_05625_d_0000062__bright_down,0000039_05625_d_0000062.jpg,bright_down,58
train,0000040_01000_d_0000066,0000040_01000_d_0000066.jpg,clean,67
train,0000040_01000_d_0000066__bright_up,0000040_01000_d_0000066.jpg,bright_up,67
train,0000040_01500_d_0000067,0000040_01500_d_0000067.jpg,clean,37
train,0000040_01500_d_0000067__blur_light,0000040_01500_d_0000067.jpg,blur_light,37
train,0000040_02454_d_0000068,0000040_02454_d_0000068.jpg,clean,19
train,0000040_02454_d_0000068__rain_heavy,0000040_02454_d_0000068.jpg,rain_heavy,19
train,0000040_03288_d_0000069,0000040_03288_d_0000069.jpg,clean,42
train,0000040_03288_d_0000069__rain_medium,0000040_03288_d_0000069.jpg,rain_medium,42
train,0000040_03752_d_0000070,0000040_03752_d_0000070.jpg,clean,17
train,0000040_03752_d_0000070__rain_medium,0000040_03752_d_0000070.jpg,rain_medium,17
train,0000040_04284_d_0000071,0000040_04284_d_0000071.jpg,clean,131
train,0000040_04284_d_0000071__bright_up,0000040_04284_d_0000071.jpg,bright_up,131
train,0000042_01000_d_0000074,0000042_01000_d_0000074.jpg,clean,129
train,0000042_01000_d_0000074__bright_down,0000042_01000_d_0000074.jpg,bright_down,129
train,0000042_02231_d_0000075,0000042_02231_d_0000075.jpg,clean,96
train,0000042_02231_d_0000075__rain_heavy,0000042_02231_d_0000075.jpg,rain_heavy,96
train,0000042_02421_d_0000076,0000042_02421_d_0000076.jpg,clean,94
train,0000042_02421_d_0000076__bright_down,0000042_02421_d_0000076.jpg,bright_down,94
train,0000043_00500_d_0000077,0000043_00500_d_0000077.jpg,clean,162
train,0000043_00500_d_0000077__blur_light,0000043_00500_d_0000077.jpg,blur_light,162
train,0000045_00000_d_0000083,0000045_00000_d_0000083.jpg,clean,154
train,0000045_00000_d_0000083__bright_up,0000045_00000_d_0000083.jpg,bright_up,154
train,0000045_00500_d_0000084,0000045_00500_d_0000084.jpg,clean,150
train,0000045_00500_d_0000084__bright_up,0000045_00500_d_0000084.jpg,bright_up,150
train,0000045_01032_d_0000085,0000045_01032_d_0000085.jpg,clean,56
train,0000045_01032_d_0000085__rain_heavy,0000045_01032_d_0000085.jpg,rain_heavy,56
train,0000045_01500_d_0000086,0000045_01500_d_0000086.jpg,clean,105
train,0000045_01500_d_0000086__bright_up,0000045_01500_d_0000086.jpg,bright_up,105
train,0000046_00000_d_0000087,0000046_00000_d_0000087.jpg,clean,132
train,0000046_00000_d_0000087__rain_heavy,0000046_00000_d_0000087.jpg,rain_heavy,132
train,0000046_00720_d_0000088,0000046_00720_d_0000088.jpg,clean,69
train,0000046_00720_d_0000088__rain_heavy,0000046_00720_d_0000088.jpg,rain_heavy,69
train,0000047_01000_d_0000090,0000047_01000_d_0000090.jpg,clean,71
train,0000047_01000_d_0000090__rain_light,0000047_01000_d_0000090.jpg,rain_light,71
train,0000047_02500_d_0000093,0000047_02500_d_0000093.jpg,clean,68
train,0000047_02500_d_0000093__rain_heavy,0000047_02500_d_0000093.jpg,rain_heavy,68
train,0000047_03500_d_0000095,0000047_03500_d_0000095.jpg,clean,152
train,0000047_03500_d_0000095__bright_up,0000047_03500_d_0000095.jpg,bright_up,152
train,0000048_01989_d_0000098,0000048_01989_d_0000098.jpg,clean,99
train,0000048_01989_d_0000098__rain_light,0000048_01989_d_0000098.jpg,rain_light,99
train,0000050_00500_d_0000104,0000050_00500_d_0000104.jpg,clean,99
train,0000050_00500_d_0000104__rain_light,0000050_00500_d_0000104.jpg,rain_light,99
train,0000056_00727_d_0000111,0000056_00727_d_0000111.jpg,clean,79
train,0000056_00727_d_0000111__rain_medium,0000056_00727_d_0000111.jpg,rain_medium,79
train,0000059_01886_d_0000114,0000059_01886_d_0000114.jpg,clean,902
train,0000059_01886_d_0000114__rain_medium,0000059_01886_d_0000114.jpg,rain_medium,902
train,0000068_00001_d_0000001,0000068_00001_d_0000001.jpg,clean,198
train,0000068_00001_d_0000001__rain_light,0000068_00001_d_0000001.jpg,rain_light,198
train,0000068_00460_d_0000002,0000068_00460_d_0000002.jpg,clean,205
train,0000068_00460_d_0000002__blur_light,0000068_00460_d_0000002.jpg,blur_light,205
train,0000068_00571_d_0000003,0000068_00571_d_0000003.jpg,clean,211
train,0000068_00571_d_0000003__rain_light,0000068_00571_d_0000003.jpg,rain_light,211
train,0000068_01001_d_0000004,0000068_01001_d_0000004.jpg,clean,105
train,0000068_01001_d_0000004__rain_light,0000068_01001_d_0000004.jpg,rain_light,105
train,0000068_01500_d_0000005,0000068_01500_d_0000005.jpg,clean,82
train,0000068_01500_d_0000005__bright_down,0000068_01500_d_0000005.jpg,bright_down,82
train,0000068_02104_d_0000006,0000068_02104_d_0000006.jpg,clean,46
train,0000068_02104_d_0000006__rain_medium,0000068_02104_d_0000006.jpg,rain_medium,46
train,0000068_02648_d_0000007,0000068_02648_d_0000007.jpg,clean,61
train,0000068_02648_d_0000007__bright_up,0000068_02648_d_0000007.jpg,bright_up,61
train,0000068_02805_d_0000008,0000068_02805_d_0000008.jpg,clean,72
train,0000068_02805_d_0000008__rain_light,0000068_02805_d_0000008.jpg,rain_light,72
train,0000068_03174_d_0000009,0000068_03174_d_0000009.jpg,clean,171
train,0000068_03174_d_0000009__rain_light,0000068_03174_d_0000009.jpg,rain_light,171
train,0000068_03388_d_0000010,0000068_03388_d_0000010.jpg,clean,139
train,0000068_03388_d_0000010__bright_down,0000068_03388_d_0000010.jpg,bright_down,139
train,0000068_03581_d_0000011,0000068_03581_d_0000011.jpg,clean,61
train,0000068_03581_d_0000011__rain_medium,0000068_03581_d_0000011.jpg,rain_medium,61
train,0000068_03714_d_0000012,0000068_03714_d_0000012.jpg,clean,103
train,0000068_03714_d_0000012__blur_light,0000068_03714_d_0000012.jpg,blur_light,103
train,0000068_03918_d_0000013,0000068_03918_d_0000013.jpg,clean,43
train,0000068_03918_d_0000013__rain_heavy,0000068_03918_d_0000013.jpg,rain_heavy,43
train,0000068_04169_d_0000014,0000068_04169_d_0000014.jpg,clean,189
train,0000068_04169_d_0000014__bright_up,0000068_04169_d_0000014.jpg,bright_up,189
train,0000070_04722_d_0000001,0000070_04722_d_0000001.jpg,clean,101
train,0000070_04722_d_0000001__rain_medium,0000070_04722_d_0000001.jpg,rain_medium,101
train,0000070_05163_d_0000002,0000070_05163_d_0000002.jpg,clean,77
train,0000070_05163_d_0000002__rain_medium,0000070_05163_d_0000002.jpg,rain_medium,77
train,0000070_05312_d_0000003,0000070_05312_d_0000003.jpg,clean,57
train,0000070_05312_d_0000003__rain_light,0000070_05312_d_0000003.jpg,rain_light,57
train,0000070_05776_d_0000004,0000070_05776_d_0000004.jpg,clean,116
train,0000070_05776_d_0000004__rain_light,0000070_05776_d_0000004.jpg,rain_light,116
train,0000070_05880_d_0000005,0000070_05880_d_0000005.jpg,clean,155
train,0000070_05880_d_0000005__bright_down,0000070_05880_d_0000005.jpg,bright_down,155
train,0000070_06990_d_0000007,0000070_06990_d_0000007.jpg,clean,159
