epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,142.384,1.60611,1.90914,1.07919,0.36029,0.30472,0.26853,0.14806,1.50172,1.39083,1.028,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,260.267,1.56561,1.39199,1.04016,0.37598,0.32215,0.28234,0.1559,1.47589,1.34318,1.02411,0.019328,0.00644268,0.019328,0.00644268,0.019328,0.00644268,0.019328,0.00644268
3,371.14,1.586,1.37376,1.05189,0.36013,0.29498,0.25419,0.13889,1.5135,1.38585,1.04917,0.0280085,0.00933615,0.0280085,0.00933615,0.0280085,0.00933615,0.0280085,0.00933615
4,482.227,1.58131,1.35626,1.05372,0.39801,0.32782,0.30086,0.16548,1.48279,1.25582,1.0261,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,592.471,1.53534,1.27357,1.03452,0.4146,0.34441,0.31994,0.17959,1.44963,1.20143,1.0105,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,703.584,1.50268,1.22383,1.02252,0.44689,0.36647,0.35119,0.20003,1.40637,1.13667,0.99926,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,814.254,1.47658,1.18711,1.01207,0.469,0.37582,0.3679,0.21143,1.40743,1.12295,0.99668,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,924.903,1.46232,1.16065,1.00552,0.47411,0.36762,0.36055,0.20694,1.38911,1.11585,0.98894,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,1036.06,1.44812,1.13985,1.00269,0.48631,0.39299,0.38664,0.22382,1.37196,1.09231,0.98633,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,1146.77,1.4392,1.12262,0.9985,0.48737,0.39905,0.39248,0.22703,1.35737,1.07222,0.97938,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,1257.04,1.42231,1.10568,0.99346,0.49651,0.40269,0.39836,0.23194,1.35416,1.07401,0.97686,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,1367.36,1.41653,1.09246,0.98976,0.50386,0.41468,0.40684,0.23723,1.34593,1.0423,0.97359,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,1478.81,1.39922,1.07327,0.98582,0.52187,0.40844,0.41205,0.24154,1.33334,1.03016,0.97057,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,1590.53,1.39852,1.06581,0.98295,0.52134,0.4152,0.42013,0.24525,1.32918,1.01755,0.96847,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,1702.85,1.3921,1.05448,0.98107,0.51043,0.41888,0.4207,0.24713,1.31974,1.01115,0.96388,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,1815.15,1.38819,1.04611,0.97871,0.52283,0.42934,0.43142,0.25331,1.31885,1.00221,0.9642,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,1927.08,1.37756,1.03697,0.97508,0.51747,0.43556,0.43414,0.25607,1.31853,0.99403,0.96226,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,2039.11,1.37023,1.02576,0.97274,0.53412,0.43381,0.43894,0.25845,1.31073,0.99027,0.96037,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,2151.58,1.3643,1.01559,0.97184,0.54733,0.43073,0.44267,0.26121,1.30629,0.98145,0.95949,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,2262.85,1.35665,1.00109,0.96873,0.5402,0.43455,0.44447,0.26339,1.3017,0.97687,0.95792,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,2371.4,1.33624,0.98911,0.97534,0.53937,0.42927,0.44176,0.26108,1.30702,0.97881,0.95856,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,2476.19,1.3269,0.97285,0.97287,0.53927,0.43681,0.44401,0.26266,1.30199,0.9732,0.95774,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,2580.86,1.31935,0.96213,0.97032,0.53623,0.4384,0.44447,0.2634,1.30156,0.97151,0.95681,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,2685.58,1.31304,0.94982,0.96691,0.5437,0.44038,0.44741,0.26566,1.29837,0.9666,0.95562,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
