epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,175.879,2.01903,2.80703,0.00413,0.34989,0.27396,0.23856,0.13386,1.82952,1.92511,0.00512,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,325.506,1.98373,1.87949,0.00389,0.40715,0.32706,0.29637,0.16608,1.81352,1.67975,0.00505,0.019328,0.00644268,0.019328,0.00644268,0.019328,0.00644268,0.019328,0.00644268
3,467.339,1.99301,1.7465,0.00396,0.3713,0.32806,0.28779,0.15743,1.87055,1.70628,0.0054,0.0280085,0.00933615,0.0280085,0.00933615,0.0280085,0.00933615,0.0280085,0.00933615
4,609.01,2.01452,1.72242,0.00403,0.40592,0.33605,0.30912,0.17047,1.8734,1.64288,0.0053,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,751.165,1.9915,1.65731,0.00395,0.42865,0.353,0.32653,0.18194,1.82285,1.57382,0.00512,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,893.956,1.97233,1.61313,0.00389,0.45022,0.36432,0.34388,0.19457,1.79288,1.51744,0.00506,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,1036.75,1.95218,1.56713,0.00381,0.44356,0.36475,0.34663,0.19651,1.7854,1.50483,0.00507,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,1179.84,1.9388,1.54406,0.00376,0.46103,0.36805,0.35488,0.20405,1.77198,1.48526,0.00503,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,1323.43,1.92642,1.52128,0.00375,0.47321,0.38827,0.37774,0.21703,1.74254,1.471,0.00486,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,1466.51,1.91512,1.50261,0.00371,0.48066,0.39169,0.38464,0.22331,1.73068,1.43943,0.00481,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,1609.76,1.89755,1.4797,0.00367,0.47862,0.40205,0.39111,0.22645,1.73588,1.40083,0.00483,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,1753.12,1.8928,1.46399,0.00364,0.50068,0.40558,0.39918,0.2327,1.71019,1.4134,0.00472,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,1896.44,1.87729,1.43952,0.00361,0.5019,0.40842,0.40526,0.23723,1.71239,1.39428,0.00471,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,2039.78,1.87503,1.43285,0.00357,0.50694,0.41362,0.41458,0.24393,1.69433,1.36205,0.00466,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,2183.9,1.86826,1.41684,0.00356,0.51857,0.41062,0.41782,0.24617,1.69277,1.3428,0.00462,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,2326.3,1.86155,1.40514,0.00352,0.51894,0.42013,0.42387,0.2498,1.68523,1.34126,0.0046,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,2470.28,1.85236,1.39648,0.00349,0.51341,0.41899,0.42485,0.25023,1.68977,1.33704,0.00459,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,2614.04,1.84357,1.38293,0.00347,0.51135,0.42635,0.42796,0.25378,1.67966,1.33033,0.00458,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,2758.09,1.83065,1.36535,0.00346,0.51836,0.42774,0.4313,0.25647,1.67357,1.3205,0.00455,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,2901.99,1.82432,1.34911,0.00343,0.52079,0.42835,0.43354,0.25751,1.66532,1.32206,0.00453,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,3043.87,1.76629,1.31817,0.00366,0.52137,0.43112,0.43497,0.25808,1.66949,1.3203,0.00453,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,3180.96,1.75272,1.2945,0.00362,0.52212,0.43046,0.43494,0.25764,1.66452,1.31437,0.00449,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,3318.01,1.74419,1.27851,0.00359,0.5256,0.42629,0.43642,0.25974,1.66613,1.30429,0.0045,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,3454.8,1.73368,1.26142,0.00356,0.53289,0.43047,0.43806,0.26111,1.66564,1.29921,0.0045,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,3591.84,1.72941,1.24532,0.00353,0.52765,0.43501,0.44011,0.26267,1.66107,1.29651,0.00448,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,3729.17,1.71456,1.23319,0.00349,0.52795,0.43486,0.44171,0.26321,1.6623,1.29373,0.00448,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,3866.17,1.70809,1.22088,0.00345,0.52445,0.43697,0.44147,0.26345,1.66098,1.29173,0.00447,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,4003.53,1.6941,1.20945,0.00344,0.52625,0.43439,0.4427,0.26357,1.66182,1.28985,0.00447,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,4141.19,1.68964,1.19711,0.00342,0.53019,0.43581,0.44287,0.26391,1.66188,1.28798,0.00447,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,4279.54,1.68183,1.19094,0.00337,0.5216,0.4402,0.44272,0.2639,1.66212,1.28564,0.00448,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
