epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,267.519,2.46114,3.63802,0.00599,0.31103,0.20687,0.13576,0.06714,1.91054,2.58785,0.0059,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,505.143,2.04995,2.36222,0.00412,0.32851,0.30063,0.24494,0.13388,1.79754,1.97341,0.00516,0.0195479,0.00651597,0.0195479,0.00651597,0.0195479,0.00651597,0.0195479,0.00651597
3,732.839,2.00432,2.09036,0.00399,0.35518,0.30302,0.2607,0.1403,1.79311,1.89969,0.00523,0.0286682,0.00955606,0.0286682,0.00955606,0.0286682,0.00955606,0.0286682,0.00955606
4,960.251,1.96772,2.00264,0.00386,0.3703,0.32553,0.28534,0.15801,1.7786,1.87536,0.00517,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
5,1187.67,1.91759,1.91424,0.00371,0.40422,0.34059,0.31117,0.17313,1.71523,1.75979,0.00484,0.02736,0.00912,0.02736,0.00912,0.02736,0.00912,0.02736,0.00912
6,1415.59,1.88886,1.85769,0.00361,0.43388,0.36348,0.34032,0.19342,1.67701,1.69255,0.00475,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089
7,1645.05,1.86348,1.80093,0.00351,0.44814,0.37216,0.35133,0.20051,1.66257,1.66658,0.00465,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
8,1873.86,1.84953,1.76644,0.00347,0.45063,0.37534,0.36011,0.20619,1.65912,1.6158,0.00465,0.02538,0.00846,0.02538,0.00846,0.02538,0.00846,0.02538,0.00846
9,2102.81,1.83231,1.74365,0.00344,0.45441,0.38477,0.36903,0.21432,1.63646,1.61416,0.00454,0.02472,0.00824,0.02472,0.00824,0.02472,0.00824,0.02472,0.00824
10,2331.76,1.81837,1.7206,0.0034,0.47922,0.39189,0.38295,0.22217,1.61892,1.59068,0.00446,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
